test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
0.002338419485092163,1110,10000,11.1,0.03761942283153534,5422,50000,10.844
0.002331752300262451,1000,10000,10.0,0.03697588706493378,5005,50000,10.01
0.002338918852806091,1016,10000,10.16,0.037076737518310546,5114,50000,10.228
0.002322121572494507,1030,10000,10.3,0.03680160749912262,5107,50000,10.214
0.002557081937789917,997,10000,9.97,0.04012735109806061,4989,50000,9.978
0.0023350008726119994,992,10000,9.92,0.03691163011074066,4969,50000,9.938
0.002320832276344299,996,10000,9.96,0.03670081780910492,4978,50000,9.956
0.0023151203393936156,987,10000,9.87,0.03649985216140747,4966,50000,9.932
0.00231446852684021,1000,10000,10.0,0.036362579650878905,4976,50000,9.952
0.002318452334403992,1000,10000,10.0,0.03637689519405365,5000,50000,10.0
0.0023192848682403564,1012,10000,10.12,0.036815147104263306,5043,50000,10.086
0.0023115700483322143,1007,10000,10.07,0.03648611507892609,5018,50000,10.036
0.0023145344972610475,1009,10000,10.09,0.03647899858474731,5023,50000,10.046
0.002312294554710388,1006,10000,10.06,0.036515611639022824,5025,50000,10.05
0.0023110177755355835,995,10000,9.95,0.036227007670402524,5019,50000,10.038
0.0023205161333084106,996,10000,9.96,0.036524142899513244,5022,50000,10.044
0.0023121452569961547,992,10000,9.92,0.036229414691925046,4996,50000,9.992
0.0023227996349334716,1005,10000,10.05,0.03639014479160309,5021,50000,10.042
0.002314785861968994,1015,10000,10.15,0.0363963683795929,5090,50000,10.18
0.0023093724250793455,999,10000,9.99,0.03621457692623138,5051,50000,10.102
0.002310503602027893,1012,10000,10.12,0.036186497006416324,5113,50000,10.226
0.0023143083095550536,1003,10000,10.03,0.03627206412315369,4991,50000,9.982
0.002310643982887268,998,10000,9.98,0.03624176462650299,4966,50000,9.932
0.0023368859767913816,1003,10000,10.03,0.03690774694442749,5028,50000,10.056
0.002311188864707947,1056,10000,10.56,0.03630301971435547,5265,50000,10.53
0.002322818374633789,1007,10000,10.07,0.03657659289360046,5030,50000,10.06
0.002311870622634888,1001,10000,10.01,0.036342133693695065,4973,50000,9.946
0.0023123059034347534,1004,10000,10.04,0.03622215537548065,5014,50000,10.028
0.0023191886186599733,1004,10000,10.04,0.036442428970336914,5047,50000,10.094
0.0023176270484924315,1007,10000,10.07,0.03627830727100372,5006,50000,10.012
0.0023211271762847902,1012,10000,10.12,0.03639880530357361,5076,50000,10.152
0.00231456081867218,987,10000,9.87,0.03625890948295593,4941,50000,9.882
0.0023223279237747194,998,10000,9.98,0.03644415519714356,4987,50000,9.974
0.0022570940494537352,1743,10000,17.43,0.035880581254959104,8742,50000,17.484
0.0025438427686691285,1282,10000,12.82,0.04045771550655365,6516,50000,13.032
0.0021471163034439086,2079,10000,20.79,0.03484728735685348,10314,50000,20.628
0.002041143214702606,2443,10000,24.43,0.03365056238412857,12634,50000,25.268
0.00202338582277298,2742,10000,27.42,0.03349784890174866,13851,50000,27.702
0.002408446764945984,2399,10000,23.99,0.03987833413362503,12014,50000,24.028
0.005557728004455567,2986,10000,29.86,0.10248035445451736,14867,50000,29.734
0.003666338205337524,2996,10000,29.96,0.06506108827352523,14862,50000,29.724
0.002545432448387146,3111,10000,31.11,0.04539209767818451,15201,50000,30.402
0.003827399706840515,3457,10000,34.57,0.06886663950920105,17032,50000,34.064
0.006337678909301757,3516,10000,35.16,0.12055775427818298,17651,50000,35.302
0.0018455719470977783,3332,10000,33.32,0.029177762725353242,16545,50000,33.09
0.0016537097692489624,4074,10000,40.74,0.02586558061122894,20384,50000,40.768
0.0017359822988510132,3438,10000,34.38,0.02713906672477722,17167,50000,34.334
0.0016616252064704895,4209,10000,42.09,0.025950110368728636,21011,50000,42.022
0.0016483592271804809,3806,10000,38.06,0.02588076752662659,19053,50000,38.106
0.0015951891422271729,4082,10000,40.82,0.02478551101446152,20144,50000,40.288
0.00159515860080719,4323,10000,43.23,0.024731026384830476,22011,50000,44.022
0.001515965211391449,4457,10000,44.57,0.023666685869693758,22662,50000,45.324
0.00150259450674057,4712,10000,47.12,0.023339057567119598,23636,50000,47.272
0.0016468814730644227,4107,10000,41.07,0.025416318860054018,21002,50000,42.004
0.0013988268494606018,5061,10000,50.61,0.021522388865947723,25678,50000,51.356
0.0015494738578796386,4499,10000,44.99,0.023941287121772768,22477,50000,44.954
0.001486245608329773,4672,10000,46.72,0.022787143313884733,23694,50000,47.388
0.0014168734669685365,4175,10000,41.75,0.02155039106607437,21324,50000,42.648
0.0013465384364128113,5468,10000,54.68,0.020635184669494627,27999,50000,55.998
0.0014159090042114258,5019,10000,50.19,0.021721624615192413,25160,50000,50.32
0.0014905123591423034,4274,10000,42.74,0.023010743465423585,21089,50000,42.178
0.0014662222146987914,5133,10000,51.33,0.022312442544698715,26261,50000,52.522
0.0013121875643730165,5528,10000,55.28,0.020080032382011413,27782,50000,55.564
0.0012716257810592652,5713,10000,57.13,0.019495669786930084,28475,50000,56.95
0.0012637366771697997,5711,10000,57.11,0.019055004255771637,29129,50000,58.258
0.0012542879223823547,5938,10000,59.38,0.01919113236427307,29974,50000,59.948
0.0013038693904876709,5891,10000,58.91,0.020060075831413268,29665,50000,59.33
0.0013172927737236022,5334,10000,53.34,0.02000134182214737,27172,50000,54.344
0.0012447669863700868,6146,10000,61.46,0.01881870120167732,31308,50000,62.616
0.0013958461284637451,5345,10000,53.45,0.02140457195997238,27010,50000,54.02
0.0011535964250564575,6346,10000,63.46,0.017300994650125502,32141,50000,64.282
