test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
0.001167379605770111,5934,10000,59.34,0.01855596822698911,35342,60000,58.903333333333336
0.0003754142165184021,8819,10000,88.19,0.006070446777095397,52739,60000,87.89833333333333
0.00015680858120322228,9658,10000,96.58,0.0023371668944154713,58027,60000,96.71166666666667
9.281515255570411e-05,9743,10000,97.43,0.0012987674506558203,58652,60000,97.75333333333333
8.65118756890297e-05,9818,10000,98.18,0.001025281596049558,59067,60000,98.445
7.72105023264885e-05,9809,10000,98.09,0.0008953504307918895,59125,60000,98.54166666666667
6.724330186843873e-05,9825,10000,98.25,0.0006930151779525962,59228,60000,98.71333333333334
6.413137465715408e-05,9837,10000,98.37,0.0006262298393956978,59348,60000,98.91333333333333
6.228528656065464e-05,9835,10000,98.35,0.0006054846288539314,59374,60000,98.95666666666666
5.478027891367674e-05,9846,10000,98.46,0.0005424257668337304,59425,60000,99.04166666666667
