train_loss,train_correct,train_dataset_length,train_accuracy,test_loss,test_correct,test_dataset_length,test_accuracy
0.04793180850982666,6135,50000,12.27,0.0031236119985580445,1217,10000,12.17
0.03978620808362961,10561,50000,21.122,0.002524263596534729,2119,10000,21.19
0.034890648267269134,11418,50000,22.836,0.0022104283809661865,2269,10000,22.69
0.03340256786346436,13810,50000,27.62,0.0020758862376213075,2793,10000,27.93
0.0314581924533844,15348,50000,30.696,0.001926889157295227,3144,10000,31.44
0.034352014336585995,16891,50000,33.782,0.002231627404689789,3475,10000,34.75
0.027602365181446077,16881,50000,33.762,0.0017553972721099853,3481,10000,34.81
0.02573176807641983,19382,50000,38.764,0.0016424017548561096,3928,10000,39.28
0.025801431980133058,20909,50000,41.818,0.001603684425354004,4185,10000,41.85
0.023287865772247316,23212,50000,46.424,0.001489145851135254,4609,10000,46.09
0.02311220127105713,23491,50000,46.982,0.0014781463265419006,4764,10000,47.64
0.025282071061134337,21596,50000,43.192,0.0015992348194122314,4356,10000,43.56
0.026124918446540833,23101,50000,46.202,0.0017138547897338867,4643,10000,46.43
0.02129573756814003,25978,50000,51.956,0.001375574815273285,5130,10000,51.3
0.02014770082950592,26537,50000,53.074,0.001307442343235016,5292,10000,52.92
0.023469941449165345,23071,50000,46.142,0.001507521903514862,4570,10000,45.7
0.020128362772464752,26861,50000,53.722,0.0013167406916618346,5338,10000,53.38
0.01953494240283966,27477,50000,54.954,0.0012741284966468812,5420,10000,54.2
0.019386781409978866,27969,50000,55.938,0.0012825838088989258,5478,10000,54.78
0.018457844475507735,29038,50000,58.076,0.001214646577835083,5714,10000,57.14
0.01902922434926033,28070,50000,56.14,0.0012621303081512452,5533,10000,55.33
0.016666886101961136,31347,50000,62.694,0.0011220733284950256,6062,10000,60.62
0.017620951132774353,30282,50000,60.564,0.0011752487421035766,5903,10000,59.03
0.016669256514310837,31102,50000,62.204,0.0011206645131111145,6019,10000,60.19
0.016798620556592942,31363,50000,62.726,0.0011175238370895386,6150,10000,61.5
0.015749769661426546,32225,50000,64.45,0.0010650129556655883,6265,10000,62.65
0.015500669833421707,32749,50000,65.498,0.0010427987217903137,6410,10000,64.1
0.014634060739278794,33867,50000,67.734,0.0010210876405239106,6569,10000,65.69
0.013774264200925828,34582,50000,69.164,0.000949141377210617,6704,10000,67.04
0.027309024316072465,27925,50000,55.85,0.0017975146651268005,5478,10000,54.78
0.012801317218542099,35695,50000,71.39,0.0008839857578277588,6958,10000,69.58
0.014799634368419648,33723,50000,67.446,0.0010096512138843537,6597,10000,65.97
0.017181618647575378,33037,50000,66.074,0.001149246084690094,6443,10000,64.43
0.012830775114893913,35749,50000,71.498,0.0008888503611087799,6936,10000,69.36
0.01306375336587429,35515,50000,71.03,0.0009205808758735657,6878,10000,68.78
0.012220143764019012,36495,50000,72.99,0.000843960839509964,7109,10000,71.09
0.011771718740463257,37004,50000,74.008,0.0008250462293624878,7185,10000,71.85
0.011467327237725257,37547,50000,75.094,0.0008130907416343689,7251,10000,72.51
0.012233208672404289,36443,50000,72.886,0.0008698219537734986,7034,10000,70.34
0.01177285415351391,36996,50000,73.992,0.0008267385005950928,7190,10000,71.9
0.011535758644342423,37147,50000,74.294,0.0008304147183895111,7169,10000,71.69
