test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
0.002989409375190735,1513,10000,15.13,0.0458357994890213,7612,50000,15.224
0.0023207730054855347,1849,10000,18.49,0.036417249097824095,9266,50000,18.532
0.0020815216302871704,2411,10000,24.11,0.032291175804138185,11971,50000,23.942
0.0019211875081062318,3039,10000,30.39,0.029908291115760804,15104,50000,30.208
0.0018770222187042237,3227,10000,32.27,0.029113008849620817,16036,50000,32.072
0.0017539968609809875,3547,10000,35.47,0.02762845716238022,17613,50000,35.226
0.001804224967956543,3570,10000,35.7,0.028079985768795012,17760,50000,35.52
0.0018023052096366881,3547,10000,35.47,0.028069322929382325,17838,50000,35.676
0.0017539694547653198,3989,10000,39.89,0.027397581872940065,19352,50000,38.704
0.0016641279458999634,3950,10000,39.5,0.02610599545955658,19613,50000,39.226
0.001676917839050293,3837,10000,38.37,0.026481210191249847,19651,50000,39.302
0.0017392035722732543,4120,10000,41.2,0.027117499749660493,20351,50000,40.702
0.0016214076638221742,4286,10000,42.86,0.02511636018037796,21377,50000,42.754
0.0015861382603645324,4313,10000,43.13,0.024796201844215392,21167,50000,42.334
0.001603824269771576,4289,10000,42.89,0.024922698867321014,21690,50000,43.38
0.0015807921171188354,4432,10000,44.32,0.024559226474761962,22440,50000,44.88
0.0015396046638488769,4567,10000,45.67,0.024132320668697357,22639,50000,45.278
0.0015766151785850525,4445,10000,44.45,0.024579374971389772,22668,50000,45.336
0.0014985444307327271,4663,10000,46.63,0.02321648836135864,23540,50000,47.08
0.0016314209222793579,4729,10000,47.29,0.024478016176223756,24285,50000,48.57
0.0016794592499732972,4785,10000,47.85,0.026831254823207855,24092,50000,48.184
0.0017118794560432435,4849,10000,48.49,0.027206524155139925,24771,50000,49.542
0.001574166989326477,4884,10000,48.84,0.02438501844406128,24802,50000,49.604
0.001721524965763092,4932,10000,49.32,0.02735185752630234,25274,50000,50.548
0.002929933166503906,4909,10000,49.09,0.04038166605591774,24950,50000,49.9
0.002136148715019226,4944,10000,49.44,0.030486064603328703,25358,50000,50.716
0.0016533460140228272,5173,10000,51.73,0.02499822782278061,26332,50000,52.664
0.0020232328057289122,5272,10000,52.72,0.033283403488397596,26741,50000,53.482
0.0033362946033477785,5211,10000,52.11,0.043973677039146425,26561,50000,53.122
0.0015548229694366455,5444,10000,54.44,0.02402770483136177,27648,50000,55.296
0.0017306327700614928,5301,10000,53.01,0.025919284007549285,27019,50000,54.038
0.0018218626976013183,5525,10000,55.25,0.026195895125865936,28410,50000,56.82
0.0017555912733078004,5674,10000,56.74,0.026337450494766237,29046,50000,58.092
0.0016244926691055298,5651,10000,56.51,0.02630250185608864,28571,50000,57.142
0.0015121402859687805,5651,10000,56.51,0.023723924200534822,29246,50000,58.492
0.00218298944234848,5733,10000,57.33,0.03519364567041397,29629,50000,59.258
0.0014016899824142457,5698,10000,56.98,0.023339490122795105,29182,50000,58.364
0.0012347962498664856,5839,10000,58.39,0.017898647872209548,30097,50000,60.194
0.0011823537588119507,5838,10000,58.38,0.01762860292673111,29899,50000,59.798
0.0010886900067329406,6167,10000,61.67,0.01595992759466171,31849,50000,63.698
0.0011165457129478455,6057,10000,60.57,0.016664209331274032,30993,50000,61.986
0.0010898539423942566,6169,10000,61.69,0.016041224145889283,31693,50000,63.386
0.0010369283497333526,6292,10000,62.92,0.015081674869060516,32879,50000,65.758
0.001007584297657013,6468,10000,64.68,0.01473933566570282,33440,50000,66.88
0.0010435735404491424,6352,10000,63.52,0.015130790107250214,32686,50000,65.372
0.0010174868524074553,6465,10000,64.65,0.014784132496118546,33307,50000,66.614
0.0009839505195617677,6582,10000,65.82,0.014300510901212692,33900,50000,67.8
