test_loss,test_correct,test_dataset_length,test_accuracy,train_loss,train_correct,train_dataset_length,train_accuracy
0.002301102328300476,1135,10000,11.35,0.03597686738570531,6742,60000,11.236666666666666
0.0023011621236801146,1135,10000,11.35,0.035976468753814696,6742,60000,11.236666666666666
0.0023011793613433836,1135,10000,11.35,0.03597554364999135,6742,60000,11.236666666666666
0.002301197457313538,1135,10000,11.35,0.035977210819721224,6742,60000,11.236666666666666
0.002301263689994812,1135,10000,11.35,0.03597622004747391,6742,60000,11.236666666666666
0.002301055860519409,1135,10000,11.35,0.03597519276539485,6742,60000,11.236666666666666
0.0023011159896850586,1135,10000,11.35,0.03597528185049693,6742,60000,11.236666666666666
0.00230104079246521,1135,10000,11.35,0.03597504097223282,6742,60000,11.236666666666666
0.0023010579109191895,1135,10000,11.35,0.03597483435074488,6742,60000,11.236666666666666
0.0023010324716567993,1135,10000,11.35,0.0359748099565506,6742,60000,11.236666666666666
0.00230102162361145,1135,10000,11.35,0.03597485530376434,6742,60000,11.236666666666666
0.0023010220050811766,1135,10000,11.35,0.03597481899658839,6742,60000,11.236666666666666
0.002301020526885986,1135,10000,11.35,0.03597465669711431,6742,60000,11.236666666666666
0.0023010226488113404,1135,10000,11.35,0.03597481515804927,6742,60000,11.236666666666666
0.002301023173332214,1135,10000,11.35,0.03597480423847834,6742,60000,11.236666666666666
0.002301021718978882,1135,10000,11.35,0.035974855975310006,6742,60000,11.236666666666666
0.002301021718978882,1135,10000,11.35,0.035974904962380726,6742,60000,11.236666666666666
0.0023010215520858765,1135,10000,11.35,0.03597465175787608,6742,60000,11.236666666666666
0.0023010209560394286,1135,10000,11.35,0.03597493811448415,6742,60000,11.236666666666666
0.0023010213375091555,1135,10000,11.35,0.035974797050158186,6742,60000,11.236666666666666
0.0023010210514068604,1135,10000,11.35,0.035974841467539466,6742,60000,11.236666666666666
0.0023010209798812868,1135,10000,11.35,0.0359747851451238,6742,60000,11.236666666666666
0.002301020932197571,1135,10000,11.35,0.03597459793488185,6742,60000,11.236666666666666
0.002301021122932434,1135,10000,11.35,0.03597478662331899,6742,60000,11.236666666666666
0.0023010207891464235,1135,10000,11.35,0.035974763373533884,6742,60000,11.236666666666666
0.002301021146774292,1135,10000,11.35,0.035974803884824116,6742,60000,11.236666666666666
0.0023010210514068604,1135,10000,11.35,0.035974806106090544,6742,60000,11.236666666666666
0.00230102117061615,1135,10000,11.35,0.03597480036417643,6742,60000,11.236666666666666
0.0023010209798812868,1135,10000,11.35,0.03597487034400304,6742,60000,11.236666666666666
0.002301021075248718,1135,10000,11.35,0.03597474334637324,6742,60000,11.236666666666666
0.002301020860671997,1135,10000,11.35,0.0359747825105985,6742,60000,11.236666666666666
