epoch,train_psnr,test_psnr,train_loss
1,5.364873545404388,5.0076425217467335,2.5532802119851112
2,6.3927797432148905,6.0622483679755055,0.32803357392549515
3,6.884628453717132,6.669989979373633,0.2509346529841423
4,7.975864775157938,7.656423481423891,0.1881215199828148
5,8.574891554094322,8.392853634603096,0.15139663964509964
6,9.052814496966455,8.890953303641172,0.13386806473135948
7,9.509978738140287,9.204808944741718,0.11725659854710102
8,9.413466925886317,9.452834753928963,0.11576861888170242
9,9.952428483497973,9.692847719665135,0.1045606080442667
10,10.299586214044194,9.877300604033833,0.09962214156985283
11,10.205119553847119,10.0486542750169,0.09578020125627518
12,10.61476150500431,10.202744501178165,0.08963809534907341
13,10.563554254372995,10.324987200036613,0.08742412179708481
14,10.656586815965447,10.440354124871885,0.08593834936618805
15,10.910333262142881,10.561831906742219,0.09292503632605076
16,11.081120333186684,10.671830460844108,0.0842420868575573
17,11.05320781431222,10.77378695013358,0.08430670201778412
18,11.118482689595194,10.860626818384247,0.08017480932176113
19,10.955322802949649,10.944843775735382,0.07668938860297203
20,10.998688560160106,10.900351726338048,0.07736772485077381
21,11.375629618989016,10.974298732069032,0.07529421150684357
22,11.107564662422377,11.026264567990044,0.07579630240797997
23,11.202912740403288,11.077315225523103,0.07615190744400024
24,11.296660346532873,11.103211490978111,0.07220334373414516
25,11.2020946457266,11.113590975683534,0.07389011234045029
26,11.18307484930411,11.124666863590832,0.07395679131150246
27,11.388807983870915,11.125941896179103,0.07223104685544968
28,11.146718185914228,11.132180736410966,0.07478166371583939
29,11.316372616276851,11.135113783196743,0.07195671647787094
30,11.602221822700525,11.140506143540392,0.0736246109008789
31,11.384651976463028,11.143385033605593,0.0702794911339879
32,11.281508388576835,11.147771853735062,0.07281491160392761
33,11.305421450036222,11.150876982483545,0.07106549106538296
34,11.544430312770874,11.15501470044885,0.07287453301250935
35,11.40577343371104,11.158523835659295,0.07621925324201584
36,11.387169421820985,11.162355065937053,0.0734055433422327
37,11.378219897153313,11.16601826755061,0.07470430247485638
38,11.206626726406428,11.169933638070681,0.07294669933617115
39,11.428525702981686,11.17374993633903,0.07409312576055527
40,11.372176911790474,11.177557709092259,0.07269086875021458
41,11.372324323601863,11.181486474687096,0.07759793289005756
42,11.314985248859525,11.18549191964503,0.07471911795437336
43,11.59962464589695,11.189517657672273,0.07100158371031284
44,11.613521311097562,11.193580778758175,0.07552989944815636
45,11.370693129253887,11.19765324693908,0.06877331621944904
46,11.456360873265162,11.201663822495185,0.0733676552772522
47,11.582436685615184,11.205623862174319,0.0759590845555067
48,11.272985856332284,11.209739707680125,0.07149885967373848
49,11.469166275760978,11.213841912912697,0.0696043623611331
50,11.341256452033157,11.21779808690501,0.07011663913726807
51,11.465803682237809,11.221989370459278,0.07437165081501007
52,11.414137443567746,11.226215171458843,0.06866966653615236
53,11.475519580703647,11.230318800900509,0.07510123401880264
54,11.422235376497257,11.234698907805114,0.07126887328922749
55,11.496446355697685,11.238926770191615,0.07243363186717033
56,11.39604083847803,11.243339698274553,0.07222136482596397
57,11.527639885360585,11.247620835496477,0.07011938095092773
58,11.577340984379276,11.251815976261213,0.06956009566783905
59,11.326036912096617,11.25620572994113,0.07076039165258408
60,11.443062848698501,11.260623715389235,0.07044125534594059
61,11.478630124945356,11.265043601790756,0.07212149538099766
62,11.43083885303928,11.269494863849285,0.07205485552549362
63,11.552822209928607,11.273993213304967,0.07129626907408237
64,11.352308848223897,11.278483196899924,0.06814122851938009
65,11.324516138493774,11.282874785033062,0.07264149375259876
66,11.431360729629898,11.28732173861648,0.0709525104612112
67,11.42283202389892,11.29185167056307,0.07143133319914341
